f_profile_id,donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion,f_selection_method,target_population
F0046,LP0096,CES 2024 Common Content,1891401032,10.7415211450145,22,18-29,Male,Asian / Asian American,High school diploma / GED,"Less than $30,000",Independent,Nevada,NV,,1891401032,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0047,LP0097,CES 2024 Common Content,1906182608,1.30906307747017,25,18-29,Male,Asian / Asian American,Bachelor's degree,"Less than $30,000",Independent,Massachusetts,MA,,1906182608,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Buddhist,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0048,LP0098,CES 2024 Common Content,1906239580,13.6128513346066,21,18-29,Male,Asian / Asian American,Some college or Associate's degree,"Less than $30,000",Democrat,Pennsylvania,PA,,1906239580,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0049,LP0099,CES 2024 Common Content,1867583970,6.02277541772917,28,18-29,Male,Other,High school diploma / GED,"$56,000 to $99,999",Other,Maryland,MD,,1867583970,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Muslim,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0050,LP0100,CES 2024 Common Content,1886447590,1.2736753371259,21,18-29,Male,Other,Less than high school,"$30,000 to $55,999",Other,Utah,UT,,1886447590,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Mormon,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0051,LP0101,CES 2024 Common Content,1907777306,6.38918399929958,27,18-29,Male,Other,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Nevada,NV,,1907777306,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0052,LP0103,CES 2024 Common Content,1853846670,2.54819194660525,42,30-44,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,Pennsylvania,PA,,1853846670,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0053,LP0104,CES 2024 Common Content,1861289472,1.22306139197815,34,30-44,Male,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,New York,NY,,1861289472,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0054,LP0105,CES 2024 Common Content,1866167066,3.05404811275197,44,30-44,Male,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,New York,NY,,1866167066,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0055,LP0106,CES 2024 Common Content,1868548586,1.29507817326806,43,30-44,Male,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,Virginia,VA,,1868548586,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0056,LP0107,CES 2024 Common Content,1870012336,4.5322344689487,37,30-44,Male,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,Colorado,CO,,1870012336,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0057,LP0108,CES 2024 Common Content,1870928936,1.89693188705755,43,30-44,Male,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,Washington,WA,,1870928936,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0058,LP0109,CES 2024 Common Content,1870930828,1.79906274882441,42,30-44,Male,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,Minnesota,MN,,1870930828,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0059,LP0110,CES 2024 Common Content,1870931264,6.91647322320046,40,30-44,Male,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,Oklahoma,OK,,1870931264,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0060,LP0111,CES 2024 Common Content,1870931310,1.79906274882441,30,30-44,Male,White / Caucasian,Bachelor's degree,"$168,000 or more",Independent,Minnesota,MN,,1870931310,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0061,LP0112,CES 2024 Common Content,1870931354,1.49136419028312,44,30-44,Male,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Independent,Wisconsin,WI,,1870931354,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Nothing in particular,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0062,LP0113,CES 2024 Common Content,1870931848,2.69346523764373,37,30-44,Male,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Washington,WA,,1870931848,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Something else,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0063,LP0114,CES 2024 Common Content,1872864470,1.49841927225175,30,30-44,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Other,California,CA,,1872864470,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Agnostic,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
F0064,LP0116,CES 2024 Common Content,1878459804,1.5201278607076,40,30-44,Male,White / Caucasian,Master's degree / Professional degree,"$168,000 or more",Democrat,Colorado,CO,,1878459804,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Atheist,deterministic subset of G donors matching benchmark F 500 cross quotas,same U.S.-adult target population as G benchmark panel
