donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0032,CES 2024 Common Content,1900273130,0.400714376324575,19,18-29,Male,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Democrat,North Carolina,NC,,1900273130,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0033,CES 2024 Common Content,1900326014,4.3898455669782,28,18-29,Male,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,Massachusetts,MA,,1900326014,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Agnostic
LP0034,CES 2024 Common Content,1900876522,11.1112385012789,29,18-29,Male,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California,CA,,1900876522,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant
LP0035,CES 2024 Common Content,1903058644,5.44453891251433,22,18-29,Male,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,Oklahoma,OK,,1903058644,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Agnostic
LP0036,CES 2024 Common Content,1906097996,2.88181875454899,24,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,Minnesota,MN,,1906097996,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Atheist
LP0037,CES 2024 Common Content,1906168626,6.79669557567509,18,18-29,Male,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,Florida,FL,,1906168626,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Agnostic
LP0038,CES 2024 Common Content,1906182642,4.594719119353,29,18-29,Male,White / Caucasian,Less than high school,"Less than $30,000",Republican,Louisiana,LA,,1906182642,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Nothing in particular
LP0039,CES 2024 Common Content,1906182936,3.2991826728621,23,18-29,Male,White / Caucasian,Some college or Associate's degree,"$168,000 or more",Independent,Kentucky,KY,,1906182936,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
LP0040,CES 2024 Common Content,1906528928,14.8970415077754,22,18-29,Male,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,North Carolina,NC,,1906528928,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant
LP0041,CES 2024 Common Content,1906795352,12.7342935168218,26,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Republican,Iowa,IA,,1906795352,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
LP0042,CES 2024 Common Content,1907049918,5.61124149896001,19,18-29,Male,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Independent,Nebraska,NE,,1907049918,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
LP0043,CES 2024 Common Content,1907431184,1.09524947654064,21,18-29,Male,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Democrat,Wisconsin,WI,,1907431184,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Protestant
LP0044,CES 2024 Common Content,1907489316,10.4461435786899,19,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,Nebraska,NE,,1907489316,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Nothing in particular
LP0045,CES 2024 Common Content,1907749354,1.16753107271569,25,18-29,Male,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,Ohio,OH,,1907749354,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Agnostic
LP0046,CES 2024 Common Content,1908964890,2.68714188308863,25,18-29,Male,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Republican,Ohio,OH,,1908964890,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant
LP0047,CES 2024 Common Content,1909136290,2.84047199168374,21,18-29,Male,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,Massachusetts,MA,,1909136290,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Jewish
LP0048,CES 2024 Common Content,1909245892,5.60350755094148,26,18-29,Male,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Independent,Illinois,IL,,1909245892,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0049,CES 2024 Common Content,1910575828,13.7804942888017,28,18-29,Male,White / Caucasian,High school diploma / GED,"Less than $30,000",Other,Pennsylvania,PA,,1910575828,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Nothing in particular
LP0050,CES 2024 Common Content,1912653572,13.7804942888017,18,18-29,Male,White / Caucasian,Less than high school,"$168,000 or more",Republican,North Carolina,NC,,1912653572,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Conservative,Protestant
LP0051,CES 2024 Common Content,1882433772,8.97710688824381,28,18-29,Male,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Independent,Georgia,GA,,1882433772,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
