latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0051,1882433772,Male,28,18-29,Black / African American,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,GA,Roman Catholic,Moderate,8.97710688824381,20260831
LP0052,1885001882,Male,23,18-29,Black / African American,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,DE,Roman Catholic,Moderate,1.04719787720774,20260831
LP0053,1885006018,Male,29,18-29,Black / African American,High school diploma / GED,False,"Less than $30,000",False,Democrat,NJ,Nothing in particular,Moderate,13.6128513346066,20260831
LP0054,1885177240,Male,25,18-29,Black / African American,Bachelor's degree,False,"$30,000 to $55,999",False,Democrat,FL,Nothing in particular,Very liberal,1.83658232293919,20260831
LP0055,1886929106,Male,27,18-29,Black / African American,High school diploma / GED,False,"Less than $30,000",False,Other,NC,Nothing in particular,Very conservative,13.7804942888017,20260831
LP0056,1887912942,Male,19,18-29,Black / African American,High school diploma / GED,False,"$100,000 to $167,999",False,Other,TX,Protestant,,4.40929613869879,20260831
LP0057,1892297536,Male,22,18-29,Black / African American,High school diploma / GED,False,"$30,000 to $55,999",True,Republican,TX,Agnostic,Moderate,2.32105838681637,20260831
LP0058,1895554990,Male,20,18-29,Black / African American,High school diploma / GED,False,"$56,000 to $99,999",False,Independent,NC,Nothing in particular,Very liberal,13.7804942888017,20260831
LP0059,1898080292,Male,22,18-29,Black / African American,High school diploma / GED,False,"Less than $30,000",False,Independent,PA,Protestant,,0.183489060199074,20260831
LP0060,1899173994,Male,29,18-29,Black / African American,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,OH,Something else,Liberal,5.56434676069875,20260831
LP0061,1904910184,Male,29,18-29,Black / African American,Bachelor's degree,False,"$56,000 to $99,999",False,Democrat,FL,Roman Catholic,Liberal,3.1784200218762,20260831
LP0062,1908437534,Male,24,18-29,Black / African American,High school diploma / GED,False,"$56,000 to $99,999",False,Democrat,VA,Roman Catholic,Liberal,9.59316225505299,20260831
LP0063,1909318624,Male,27,18-29,Black / African American,High school diploma / GED,False,"$30,000 to $55,999",False,Independent,OH,Protestant,Moderate,2.93103289189915,20260831
LP0064,1909597414,Male,20,18-29,Black / African American,High school diploma / GED,False,"Less than $30,000",False,Other,WI,Nothing in particular,Very liberal,3.75371689947915,20260831
LP0065,1910711320,Male,19,18-29,Black / African American,High school diploma / GED,False,"Less than $30,000",False,Democrat,TX,Something else,Moderate,4.40929613869879,20260831
LP0066,1879432206,Male,22,18-29,Hispanic / Latino,Some college or Associate's degree,False,"$56,000 to $99,999",False,Democrat,CA,Roman Catholic,Very liberal,1.41842847445777,20260831
LP0067,1880822948,Male,22,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Other,NC,Something else,,11.4245124107975,20260831
LP0068,1882414670,Male,25,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Republican,FL,Eastern or Greek Orthodox,Very conservative,5.99694265618198,20260831
LP0069,1882415262,Male,18,18-29,Hispanic / Latino,High school diploma / GED,False,"$30,000 to $55,999",True,Other,NJ,Roman Catholic,Moderate,4.63708202399192,20260831
LP0070,1882426960,Male,27,18-29,Hispanic / Latino,High school diploma / GED,False,"$30,000 to $55,999",False,Democrat,OR,Protestant,Very liberal,10.0780290457047,20260831
LP0071,1882435836,Male,25,18-29,Hispanic / Latino,Bachelor's degree,False,"$56,000 to $99,999",False,Other,TN,Roman Catholic,Conservative,13.1841712680944,20260831
LP0072,1882439054,Male,28,18-29,Hispanic / Latino,Bachelor's degree,False,"$56,000 to $99,999",False,Democrat,NY,Agnostic,Liberal,1.11701891250184,20260831
LP0073,1885099064,Male,18,18-29,Hispanic / Latino,High school diploma / GED,False,"$168,000 or more",True,Other,NJ,Roman Catholic,Moderate,6.69146695988698,20260831
LP0074,1885708768,Male,26,18-29,Hispanic / Latino,High school diploma / GED,False,"$168,000 or more",False,Independent,NJ,Something else,,4.63708202399192,20260831
LP0075,1886164010,Male,25,18-29,Hispanic / Latino,Some college or Associate's degree,False,"$56,000 to $99,999",False,Republican,TX,Roman Catholic,Very conservative,4.80996418047911,20260831
LP0076,1886317374,Male,23,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Independent,TX,Atheist,,2.84936701557704,20260831
LP0077,1886432286,Male,25,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Republican,WA,Roman Catholic,Conservative,1.2899843549395,20260831
LP0078,1886682122,Male,26,18-29,Hispanic / Latino,Master's degree / Professional degree,True,"$168,000 or more",True,Independent,FL,Nothing in particular,Moderate,1.32338439432281,20260831
LP0079,1888481066,Male,28,18-29,Hispanic / Latino,Some college or Associate's degree,False,"Less than $30,000",False,Republican,NJ,Roman Catholic,Liberal,5.96331425342448,20260831
LP0080,1888825080,Male,27,18-29,Hispanic / Latino,Less than high school,False,"$30,000 to $55,999",False,Other,NV,Roman Catholic,,8.35769752951411,20260831
LP0081,1888941432,Male,25,18-29,Hispanic / Latino,Some college or Associate's degree,False,"$56,000 to $99,999",False,Democrat,WA,Protestant,Conservative,4.43960762723765,20260831
LP0082,1888953090,Male,24,18-29,Hispanic / Latino,High school diploma / GED,False,"$30,000 to $55,999",False,Other,TX,Nothing in particular,Conservative,5.9210688959279,20260831
