study_id,effect_id,z_se_native,theta_L_pp,paired_n,theta_H_pp
McGinty730,McGinty730:social_stigma:hyp3,-1.1139999999999999,-27.849999999999998,500,6.669897185235163
McGinty730,McGinty730:social_stigma:hyp4,-1.3419999999999999,-33.55,500,9.045535569599906
McGinty730,McGinty730:treatment_support:hyp1,0.242,6.05,500,-3.4417679095100078
McGinty730,McGinty730:treatment_support:hyp2,0.23599999999999977,5.899999999999994,500,-4.879393664037002
McGinty730,McGinty730:treatment_support:hyp3,0.3280000000000003,8.200000000000006,500,-4.822313290055346
McGinty730,McGinty730:treatment_support:hyp4,0.4039999999999999,10.099999999999998,500,-5.664295382037309
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp1,0.09400000000000008,9.40000000000001,500,-3.627728711881972
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp2,0.10200000000000009,10.20000000000001,500,-8.567630442007568
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp3,0.44399999999999995,44.39999999999999,500,-12.182001005530662
McGinty730,McGinty730:willingness_to_pay_mentalhealthservices:hyp4,0.476,47.599999999999994,500,-12.160897280723027
Melin1066,Melin1066:Capable:hyp1,1.2380000000000004,20.63333333333334,500,10.167610167610164
Melin1066,Melin1066:Capable:hyp2,0.2320000000000002,3.8666666666666702,500,6.498316498316504
Melin1066,Melin1066:Capable:hyp3,-0.06200000000000028,-1.0333333333333379,500,4.093723494486845
Melin1066,Melin1066:masculine:hyp1,1.138,18.966666666666665,500,13.962093731334663
Melin1066,Melin1066:masculine:hyp2,1.214,20.23333333333333,500,13.893835554836004
Melin1066,Melin1066:masculine:hyp3,1.946,32.43333333333333,500,15.589677371060668
Merolla843,Merolla843:foreign_policy:hyp1,1.1959999999999997,19.933333333333326,500,5.250619401562845
Merolla843,Merolla843:foreign_policy:hyp2,0.782,13.033333333333333,500,3.5849827757341632
Merolla843,Merolla843:foreign_policy:hyp3,0.44599999999999973,7.433333333333329,500,1.6656366258286814
Merolla843,Merolla843:hillary_clinton_leadership:hyp1,0.278,4.633333333333334,500,-1.0754648195406669
Merolla843,Merolla843:hillary_clinton_leadership:hyp2,0.17799999999999994,2.9666666666666655,500,0.8768975389131684
Merolla843,Merolla843:trump_leadership:hyp1,0.1459999999999999,2.433333333333332,500,-4.465269642934672
Merolla843,Merolla843:trump_leadership:hyp2,-0.13600000000000012,-2.266666666666669,500,-2.23494599081
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp1,0.1299999999999999,2.1666666666666647,500,0.905760329410188
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp2,0.10800000000000054,1.800000000000009,500,0.3365085751464769
Mezzapelle1439,Mezzapelle1439:BELIEVABLE:hyp3,0.2160000000000002,3.600000000000003,500,1.264054275526505
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp1,0.19799999999999995,3.2999999999999994,500,0.412904186886831
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp2,0.1460000000000008,2.4333333333333464,500,1.510871680650383
Mezzapelle1439,Mezzapelle1439:COMPENSATION:hyp3,0.2899999999999996,4.833333333333326,500,1.9360223375518348
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp1,0.06400000000000006,1.0666666666666675,500,1.896110734973277
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp2,-0.05999999999999961,-0.9999999999999934,500,2.466185210261085
Mezzapelle1439,Mezzapelle1439:PERCEIVED HARM:hyp3,0.0,0.0,500,4.402918119107513
MunschS68,MunschS68:Morgan_Committed:hyp1,0.008000000000000007,0.13333333333333344,500,13.008458746931408
SchaadS62,SchaadS62:still_identify:hyp1,0.006000000000000227,0.1000000000000038,500,-2.7316790190675344
SchaadS62,SchaadS62:still_identify:hyp2,-0.5360000000000005,-8.933333333333342,500,-6.908660195175065
SchaadS62,SchaadS62:still_identify:hyp3,-0.29800000000000004,-4.966666666666668,500,-9.546772476113674
Schnabel903,Schnabel903:Feminine:hyp1,0.008000000000000007,0.13333333333333344,500,1.872121656422121
Schnabel903,Schnabel903:Masculine:hyp1,-0.0020000000000000018,-0.03333333333333336,500,0.4356323288361441
ShannonS2,ShannonS2:tax credit effective:hyp1,-0.4179999999999997,-10.449999999999992,500,-3.846599601316492
ShannonS2,ShannonS2:tax credit effective:hyp2,-0.524,-13.100000000000001,500,-8.215691597665254
ShannonS2,ShannonS2:tax credit effective:hyp3,0.03200000000000003,0.8000000000000007,500,1.0304221965748428
Silverman1035,Silverman1035:Americans_Killed:hyp1,-0.236,-11.799999999999999,500,-7.911140583554655
Silverman1035,Silverman1035:Americans_Killed:hyp2,0.0,0.0,500,3.064730188910314
Silverman1035,Silverman1035:Americans_Killed:hyp3,0.0,0.0,500,2.640063934742498
Silverman1035,Silverman1035:Americans_Killed:hyp4,0.0,0.0,500,3.753180661578004
Silverman1035,Silverman1035:Terrorism_likely:hyp1,-0.96,-32.0,500,2.039553429027113
Silverman1035,Silverman1035:Terrorism_likely:hyp2,-0.0040000000000000036,-0.13333333333333344,500,-1.7932952715561168
Silverman1035,Silverman1035:Terrorism_likely:hyp3,-0.0900000000000003,-3.00000000000001,500,-0.727077538671661
Silverman1035,Silverman1035:Terrorism_likely:hyp4,-0.07000000000000028,-2.333333333333343,500,-4.728267483636673
Silverman1035,Silverman1035:Terrorism_worry:hyp1,-0.812,-27.066666666666666,500,4.675029342723091
Silverman1035,Silverman1035:Terrorism_worry:hyp2,-0.11999999999999988,-3.9999999999999964,500,1.8342163503454525
Silverman1035,Silverman1035:Terrorism_worry:hyp3,-0.13800000000000012,-4.600000000000004,500,2.824357203919325
Silverman1035,Silverman1035:Terrorism_worry:hyp4,-0.18399999999999994,-6.133333333333332,500,0.7647182065786517
Stoker1063,Stoker1063:Anger:hyp1,-2.398,-39.96666666666667,500,-11.257119255684522
Stoker1063,Stoker1063:Serious:hyp1,-2.4899999999999998,-41.49999999999999,500,-7.975655974972041
Stoker1063,Stoker1063:Worry:hyp1,-1.822,-30.36666666666667,500,-7.8868498276217505
Terman1029,Terman1029:donating to HRAC:hyp1,-0.016000000000000014,-1.6000000000000014,500,-1.3438735177866867
Terman1029,Terman1029:donating to HRAC:hyp2,-0.0020000000000000018,-0.20000000000000018,500,2.9606980898719826
Terman1029,Terman1029:donating to HRAC:hyp3,-0.014000000000000012,-1.4000000000000012,500,-1.1822240168700038
Terman1029,Terman1029:naitonalist superiority:hyp1,-0.32200000000000006,-8.05,500,1.262958917020085
Terman1029,Terman1029:naitonalist superiority:hyp2,-0.10000000000000009,-2.500000000000002,500,0.2191348702977325
Terman1029,Terman1029:naitonalist superiority:hyp3,-1.024,-25.6,500,-2.6153273809525035
Terman1029,Terman1029:perception of domestic human rights conditions:hyp1,0.010000000000000231,0.2500000000000058,500,1.8621973102137868
Terman1029,Terman1029:perception of domestic human rights conditions:hyp2,-0.01200000000000001,-0.30000000000000027,500,-0.2145900974024894
Terman1029,Terman1029:perception of domestic human rights conditions:hyp3,-0.11799999999999988,-2.949999999999997,500,-0.9620009620009972
WallaceS9,WallaceS9:credibility:hyp1,-0.992,-16.533333333333335,500,19.580947383630264
WallaceS9,WallaceS9:president_approval:hyp1,-1.658,-27.63333333333333,500,15.632114429687563
Williamson859,Williamson859:Food stamps:hyp1,-0.1200000000000001,-6.000000000000005,500,-1.0912698412695043
Williamson859,Williamson859:Military:hyp1,-0.039999999999999813,-1.9999999999999907,500,1.2731152765945053
Williamson859,Williamson859:Social Security:hyp1,0.01200000000000001,0.6000000000000005,500,-0.4676889160090014
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp1,-0.5140000000000002,-8.56666666666667,500,0.5224596747476662
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp2,-1.008,-16.8,500,7.400708201741835
bolsenM6,bolsenM6:Providing Personal Pronouns:hyp3,-0.9359999999999999,-15.6,500,1.5754915836720065
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp1,-0.30600000000000005,-5.1000000000000005,500,0.320132542354834
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp2,-0.4119999999999999,-6.8666666666666645,500,3.1596387151943297
bolsenM6,bolsenM6:They/Them Pronouns in Forms:hyp3,-0.4200000000000008,-7.000000000000014,500,-2.114468446126672
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp1,0.10200000000000031,1.7000000000000053,500,-0.4857485326235089
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp2,-0.20199999999999996,-3.366666666666666,500,-0.492219650205683
bolsenM6,bolsenM6:Using They/Them Pronouns:hyp3,-0.09799999999999986,-1.633333333333331,500,-0.6828849106643498
bucci1408,bucci1408:Rewarding:hyp1,22.589999999999996,22.589999999999996,500,2.558067936223201
