study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp1,528,117,110,20.833333333333332,500,30,0.13636363636363638,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,268,Group 1,Group 2,welcome_refugees,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
CorstangeBRIEF69,CorstangeBRIEF69:welcome_refugees:hyp2,518,115,112,21.62162162162162,500,29,0.1444015444015444,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,258,Group 1,Group 3,welcome_refugees,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Enos700,Enos700:modern_racism1:hyp1,715,125,137,19.16083916083916,500,26,0.11468531468531509,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,263,452,Black,Mauritanian|Surinamese,modern_racism1,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
FaheyS78,FaheyS78:cancel culture:hyp1,2002,194,478,23.876123876123877,500,22,0.10089910089910084,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,992,1010,Conservative * No Cancel|Liberal * No Cancel,Conservative * Cancel|Liberal * Cancel,cancel culture,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
FarrowS6,FarrowS6:Disappointment:hyp1,974,166,407,41.7864476386037,500,19,0.10266940451745381,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,483,491,Condition 1 disappointment,Condition 2 disappointment,Disappointment,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Haaland874,Haaland874:Affirmative action: Assistance:hyp1,1533,183,364,23.744292237442924,500,19,0.13476842791911287,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,754,779,CONTROL,TREATMENT,Affirmative action: Assistance,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Haaland874,Haaland874:Affirmative action: Preference:hyp1,1535,183,362,23.583061889250814,500,19,0.13485342019543975,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,753,782,CONTROL,TREATMENT,Affirmative action: Preference,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Haaland874,Haaland874:Racial Discrimination perception:hyp1,1538,184,365,23.73211963589077,500,19,0.13498049414824448,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,757,781,CONTROL,TREATMENT,Racial Discrimination perception,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
HankinsonS22,HankinsonS22:Clinic_support:hyp1,2000,221,602,30.1,500,23,0.10000000000000009,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,980,1020,Near Treatment,Far Treatment,Clinic_support,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp1,854,128,149,17.447306791569087,500,33,0.117096018735363,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,444,410,Control,Experimental Different,Willingness_to_spend_on_optional_expense,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
