study_id,effect_id,demographic_variable,category,human_analytic_pct,current_complete_case_source_pct,abs_pp_difference
Blair1131,Blair1131:Approve_Handling:hyp2,ideo_3,__MISSING__,7.532467532467532,0.0,7.532467532467532
Braman751,Braman751:legitimacy:hyp1,GENDER,Female,46.32768361581921,48.11912225705329,1.7914386412340804
Braman751,Braman751:legitimacy:hyp1,GENDER,Male,53.672316384180796,51.88087774294671,1.7914386412340875
Braman751,Braman751:legitimacy:hyp1,race_4,Black,8.851224105461393,11.285266457680251,2.4340423522188583
Braman751,Braman751:legitimacy:hyp1,race_4,White,71.1864406779661,88.71473354231975,17.528292864353645
Braman751,Braman751:legitimacy:hyp1,race_4,__MISSING__,19.962335216572505,0.0,19.962335216572505
Braman751,Braman751:legitimacy:hyp1,pid_3,Democrat,46.32768361581921,50.15673981191222,3.8290561960930063
Braman751,Braman751:legitimacy:hyp1,pid_3,Independent,2.824858757062147,2.8213166144200628,0.0035421426420843005
Braman751,Braman751:legitimacy:hyp1,pid_3,Republican,50.847457627118644,47.02194357366771,3.825514053450931
Braman751,Braman751:legitimacy:hyp1,age_5,Older than 50,54.61393596986818,60.03134796238244,5.4174119925142605
Braman751,Braman751:legitimacy:hyp1,age_5,Younger than 50,45.38606403013183,39.96865203761755,5.417411992514275
Braman751,Braman751:legitimacy:hyp1,EDUC4,College,34.08662900188324,33.5423197492163,0.5443092526669417
Braman751,Braman751:legitimacy:hyp1,EDUC4,Non-College,65.91337099811676,66.4576802507837,0.5443092526669346
Braman751,Braman751:legitimacy:hyp1,ideo_3,Conservative,37.664783427495294,39.341692789968654,1.67690936247336
Braman751,Braman751:legitimacy:hyp1,ideo_3,Liberal,29.943502824858758,27.74294670846395,2.2005561163948073
Braman751,Braman751:legitimacy:hyp1,ideo_3,Moderate,32.015065913371,32.9153605015674,0.9002945881964024
Braman751,Braman751:legitimacy:hyp1,ideo_3,__MISSING__,0.3766478342749529,0.0,0.3766478342749529
Braman751,Braman751:legitimacy:hyp2,GENDER,Female,48.523985239852394,48.11912225705329,0.40486298279910216
Braman751,Braman751:legitimacy:hyp2,GENDER,Male,51.476014760147606,51.88087774294671,0.40486298279910216
Braman751,Braman751:legitimacy:hyp2,race_4,Black,9.59409594095941,11.285266457680251,1.6911705167208417
Braman751,Braman751:legitimacy:hyp2,race_4,White,70.11070110701108,88.71473354231975,18.604032435308667
Braman751,Braman751:legitimacy:hyp2,race_4,__MISSING__,20.29520295202952,0.0,20.29520295202952
Braman751,Braman751:legitimacy:hyp2,pid_3,Democrat,47.0479704797048,50.15673981191222,3.108769332207416
Braman751,Braman751:legitimacy:hyp2,pid_3,Independent,3.505535055350553,2.8213166144200628,0.6842184409304903
Braman751,Braman751:legitimacy:hyp2,pid_3,Republican,49.44649446494465,47.02194357366771,2.4245508912769367
Braman751,Braman751:legitimacy:hyp2,age_5,Older than 50,56.27306273062731,60.03134796238244,3.7582852317551314
Braman751,Braman751:legitimacy:hyp2,age_5,Younger than 50,43.7269372693727,39.96865203761755,3.7582852317551456
Braman751,Braman751:legitimacy:hyp2,EDUC4,College,34.686346863468636,33.5423197492163,1.1440271142523386
Braman751,Braman751:legitimacy:hyp2,EDUC4,Non-College,65.31365313653137,66.4576802507837,1.1440271142523244
Braman751,Braman751:legitimacy:hyp2,ideo_3,Conservative,38.00738007380074,39.341692789968654,1.334312716167915
Braman751,Braman751:legitimacy:hyp2,ideo_3,Liberal,28.228782287822877,27.74294670846395,0.48583557935892685
Braman751,Braman751:legitimacy:hyp2,ideo_3,Moderate,33.210332103321036,32.9153605015674,0.29497160175363746
Braman751,Braman751:legitimacy:hyp2,ideo_3,__MISSING__,0.5535055350553505,0.0,0.5535055350553505
Braman751,Braman751:pass_legislation:hyp1,GENDER,Female,46.83195592286501,48.11912225705329,1.287166334188278
Braman751,Braman751:pass_legislation:hyp1,GENDER,Male,53.168044077134994,51.88087774294671,1.287166334188285
Braman751,Braman751:pass_legislation:hyp1,race_4,Black,8.677685950413224,11.285266457680251,2.607580507267027
Braman751,Braman751:pass_legislation:hyp1,race_4,White,71.48760330578511,88.71473354231975,17.227130236534634
Braman751,Braman751:pass_legislation:hyp1,race_4,__MISSING__,19.834710743801654,0.0,19.834710743801654
Braman751,Braman751:pass_legislation:hyp1,pid_3,Democrat,46.41873278236915,50.15673981191222,3.73800702954307
Braman751,Braman751:pass_legislation:hyp1,pid_3,Independent,2.7548209366391188,2.8213166144200628,0.06649567778094401
Braman751,Braman751:pass_legislation:hyp1,pid_3,Republican,50.82644628099173,47.02194357366771,3.804502707324019
Braman751,Braman751:pass_legislation:hyp1,age_5,Older than 50,56.33608815426997,60.03134796238244,3.6952598081124677
Braman751,Braman751:pass_legislation:hyp1,age_5,Younger than 50,43.66391184573003,39.96865203761755,3.695259808112475
Braman751,Braman751:pass_legislation:hyp1,EDUC4,College,33.33333333333333,33.5423197492163,0.2089864158829684
Braman751,Braman751:pass_legislation:hyp1,EDUC4,Non-College,66.66666666666666,66.4576802507837,0.2089864158829613
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Conservative,37.60330578512397,39.341692789968654,1.7383870048446823
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Liberal,28.78787878787879,27.74294670846395,1.0449320794148385
Braman751,Braman751:pass_legislation:hyp1,ideo_3,Moderate,33.47107438016529,32.9153605015674,0.5557138785978921
Braman751,Braman751:pass_legislation:hyp1,ideo_3,__MISSING__,0.13774104683195593,0.0,0.13774104683195593
Braman751,Braman751:scholar_credibility:hyp1,GENDER,Female,43.604651162790695,48.11912225705329,4.514471094262596
Braman751,Braman751:scholar_credibility:hyp1,GENDER,Male,56.395348837209305,51.88087774294671,4.514471094262596
Braman751,Braman751:scholar_credibility:hyp1,race_4,Black,7.55813953488372,11.285266457680251,3.727126922796531
Braman751,Braman751:scholar_credibility:hyp1,race_4,White,72.38372093023256,88.71473354231975,16.331012612087193
Braman751,Braman751:scholar_credibility:hyp1,race_4,__MISSING__,20.058139534883722,0.0,20.058139534883722
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Democrat,46.80232558139535,50.15673981191222,3.3544142305168663
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Independent,2.0348837209302326,2.8213166144200628,0.7864328934898301
Braman751,Braman751:scholar_credibility:hyp1,pid_3,Republican,51.162790697674424,47.02194357366771,4.1408471240067115
Braman751,Braman751:scholar_credibility:hyp1,age_5,Older than 50,53.779069767441854,60.03134796238244,6.252278194940587
Braman751,Braman751:scholar_credibility:hyp1,age_5,Younger than 50,46.22093023255814,39.96865203761755,6.252278194940587
Braman751,Braman751:scholar_credibility:hyp1,EDUC4,College,37.2093023255814,33.5423197492163,3.6669825763651005
Braman751,Braman751:scholar_credibility:hyp1,EDUC4,Non-College,62.7906976744186,66.4576802507837,3.6669825763650934
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Conservative,38.08139534883721,39.341692789968654,1.260297441131442
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Liberal,31.3953488372093,27.74294670846395,3.6524021287453508
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,Moderate,30.23255813953488,32.9153605015674,2.6828023620325183
Braman751,Braman751:scholar_credibility:hyp1,ideo_3,__MISSING__,0.29069767441860467,0.0,0.29069767441860467
Braman751,Braman751:scholar_credibility:hyp2,GENDER,Female,44.67455621301775,48.11912225705329,3.4445660440355397
Braman751,Braman751:scholar_credibility:hyp2,GENDER,Male,55.325443786982255,51.88087774294671,3.444566044035547
Braman751,Braman751:scholar_credibility:hyp2,race_4,Black,6.508875739644971,11.285266457680251,4.77639071803528
Braman751,Braman751:scholar_credibility:hyp2,race_4,White,73.37278106508876,88.71473354231975,15.34195247723099
Braman751,Braman751:scholar_credibility:hyp2,race_4,__MISSING__,20.118343195266274,0.0,20.118343195266274
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Democrat,48.22485207100592,50.15673981191222,1.9318877409062978
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Independent,2.366863905325444,2.8213166144200628,0.4544527090946189
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Republican,49.40828402366864,47.02194357366771,2.3863404500009295
Braman751,Braman751:scholar_credibility:hyp2,age_5,Older than 50,54.73372781065089,60.03134796238244,5.29762015173155
Braman751,Braman751:scholar_credibility:hyp2,age_5,Younger than 50,45.26627218934911,39.96865203761755,5.297620151731557
Braman751,Braman751:scholar_credibility:hyp2,EDUC4,College,39.053254437869825,33.5423197492163,5.510934688653528
Braman751,Braman751:scholar_credibility:hyp2,EDUC4,Non-College,60.946745562130175,66.4576802507837,5.510934688653521
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Conservative,38.46153846153847,39.341692789968654,0.8801543284301871
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Liberal,31.952662721893493,27.74294670846395,4.209716013429542
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Moderate,29.289940828402365,32.9153605015674,3.625419673165034
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,__MISSING__,0.2958579881656805,0.0,0.2958579881656805
CalarcoS38,CalarcoS38:Approval:hyp1,GENDER,Female,54.1958041958042,54.26409903713893,0.06829484133472619
CalarcoS38,CalarcoS38:Approval:hyp1,GENDER,Male,45.8041958041958,45.73590096286107,0.06829484133472619
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,Black,10.789210789210788,12.998624484181567,2.209413694970779
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,White,66.38361638361638,87.00137551581844,20.617759132202053
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,__MISSING__,22.827172827172827,0.0,22.827172827172827
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Democrat,48.05194805194805,46.8363136176066,1.2156344343414531
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Independent,16.483516483516482,13.13617606602476,3.347340417491722
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Republican,35.36463536463537,40.027510316368634,4.662874951733265
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,__MISSING__,0.0999000999000999,0.0,0.0999000999000999
CalarcoS38,CalarcoS38:Approval:hyp1,age_5,Older than 50,50.0,57.015130674002755,7.015130674002755
CalarcoS38,CalarcoS38:Approval:hyp1,age_5,Younger than 50,50.0,42.98486932599725,7.015130674002748
CalarcoS38,CalarcoS38:Approval:hyp1,EDUC4,College,33.91608391608392,37.689133425034385,3.7730495089504643
CalarcoS38,CalarcoS38:Approval:hyp1,EDUC4,Non-College,66.08391608391608,62.310866574965615,3.7730495089504643
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Conservative,19.33066933066933,23.177441540577718,3.846772209908387
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Liberal,57.24275724275725,60.45392022008254,3.211162977325287
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Moderate,16.583416583416582,16.368638239339752,0.21477834407683005
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,__MISSING__,6.8431568431568435,0.0,6.8431568431568435
CalarcoS38,CalarcoS38:Approval:hyp2,GENDER,Female,54.095940959409596,54.26409903713893,0.16815807772933056
CalarcoS38,CalarcoS38:Approval:hyp2,GENDER,Male,45.904059040590404,45.73590096286107,0.16815807772933056
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,Black,10.77490774907749,12.998624484181567,2.2237167351040767
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,White,67.89667896678966,87.00137551581844,19.104696549028773
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,__MISSING__,21.328413284132843,0.0,21.328413284132843
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Democrat,47.601476014760145,46.8363136176066,0.7651623971535457
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Independent,16.236162361623617,13.13617606602476,3.099986295598857
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Republican,36.08856088560886,40.027510316368634,3.938949430759777
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,__MISSING__,0.07380073800738007,0.0,0.07380073800738007
CalarcoS38,CalarcoS38:Approval:hyp2,age_5,Older than 50,51.14391143911439,57.015130674002755,5.871219234888365
CalarcoS38,CalarcoS38:Approval:hyp2,age_5,Younger than 50,48.85608856088561,42.98486932599725,5.871219234888358
CalarcoS38,CalarcoS38:Approval:hyp2,EDUC4,College,33.65313653136531,37.689133425034385,4.035996893669072
CalarcoS38,CalarcoS38:Approval:hyp2,EDUC4,Non-College,66.34686346863468,62.310866574965615,4.035996893669065
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Conservative,19.778597785977862,23.177441540577718,3.3988437545998558
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Liberal,57.0479704797048,60.45392022008254,3.4059497403777357
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Moderate,16.752767527675278,16.368638239339752,0.38412928833552584
