study_id,effect_id,demographic_variable,category,control_pct,treatment_pct,abs_pp_difference,diagnostic_only
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Independent,2.272727272727273,2.4691358024691357,0.19640852974186274,True
Braman751,Braman751:scholar_credibility:hyp2,pid_3,Republican,51.70454545454546,46.913580246913575,4.790965207631885,True
Braman751,Braman751:scholar_credibility:hyp2,age_5,Older than 50,53.40909090909091,56.17283950617284,2.7637485970819355,True
Braman751,Braman751:scholar_credibility:hyp2,age_5,Younger than 50,46.590909090909086,43.82716049382716,2.7637485970819284,True
Braman751,Braman751:scholar_credibility:hyp2,EDUC4,College,41.47727272727273,36.41975308641975,5.0575196408529735,True
Braman751,Braman751:scholar_credibility:hyp2,EDUC4,Non-College,58.52272727272727,63.580246913580254,5.057519640852981,True
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Conservative,39.20454545454545,37.65432098765432,1.5502244668911302,True
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Liberal,31.818181818181817,32.098765432098766,0.2805836139169493,True
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,Moderate,28.40909090909091,30.246913580246915,1.8378226711560046,True
Braman751,Braman751:scholar_credibility:hyp2,ideo_3,__MISSING__,0.5681818181818182,0.0,0.5681818181818182,True
CalarcoS38,CalarcoS38:Approval:hyp1,GENDER,Female,54.61538461538461,53.99408284023669,0.62130177514792,True
CalarcoS38,CalarcoS38:Approval:hyp1,GENDER,Male,45.38461538461539,46.005917159763314,0.6213017751479271,True
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,Black,11.076923076923077,10.650887573964498,0.4260355029585785,True
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,White,67.53846153846153,65.8284023668639,1.710059171597635,True
CalarcoS38,CalarcoS38:Approval:hyp1,race_4,__MISSING__,21.384615384615387,23.5207100591716,2.1360946745562117,True
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Democrat,46.76923076923077,48.66863905325444,1.8994082840236715,True
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Independent,15.230769230769232,17.085798816568047,1.8550295857988157,True
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,Republican,38.0,34.09763313609467,3.9023668639053284,True
CalarcoS38,CalarcoS38:Approval:hyp1,pid_3,__MISSING__,0.0,0.14792899408284024,0.14792899408284024,True
CalarcoS38,CalarcoS38:Approval:hyp1,age_5,Older than 50,53.84615384615385,48.150887573964496,5.69526627218935,True
CalarcoS38,CalarcoS38:Approval:hyp1,age_5,Younger than 50,46.15384615384615,51.849112426035504,5.69526627218935,True
CalarcoS38,CalarcoS38:Approval:hyp1,EDUC4,College,32.76923076923077,34.467455621301774,1.6982248520710073,True
CalarcoS38,CalarcoS38:Approval:hyp1,EDUC4,Non-College,67.23076923076923,65.53254437869822,1.6982248520710073,True
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Conservative,20.46153846153846,18.786982248520708,1.6745562130177518,True
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Liberal,56.30769230769231,57.692307692307686,1.3846153846153797,True
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,Moderate,16.923076923076923,16.420118343195266,0.5029585798816569,True
CalarcoS38,CalarcoS38:Approval:hyp1,ideo_3,__MISSING__,6.3076923076923075,7.100591715976331,0.7928994082840237,True
CalarcoS38,CalarcoS38:Approval:hyp2,GENDER,Female,54.61538461538461,53.61702127659574,0.9983633387888702,True
CalarcoS38,CalarcoS38:Approval:hyp2,GENDER,Male,45.38461538461539,46.38297872340426,0.9983633387888702,True
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,Black,11.076923076923077,10.49645390070922,0.5804691762138567,True
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,White,67.53846153846153,68.22695035460993,0.6884888161483929,True
CalarcoS38,CalarcoS38:Approval:hyp2,race_4,__MISSING__,21.384615384615387,21.27659574468085,0.10801963993453612,True
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Democrat,46.76923076923077,48.36879432624113,1.599563557010363,True
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Independent,15.230769230769232,17.163120567375888,1.932351336606656,True
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,Republican,38.0,34.326241134751776,3.6737588652482245,True
CalarcoS38,CalarcoS38:Approval:hyp2,pid_3,__MISSING__,0.0,0.14184397163120568,0.14184397163120568,True
CalarcoS38,CalarcoS38:Approval:hyp2,age_5,Older than 50,53.84615384615385,48.652482269503544,5.193671576650303,True
CalarcoS38,CalarcoS38:Approval:hyp2,age_5,Younger than 50,46.15384615384615,51.34751773049645,5.193671576650296,True
CalarcoS38,CalarcoS38:Approval:hyp2,EDUC4,College,32.76923076923077,34.46808510638298,1.6988543371522127,True
CalarcoS38,CalarcoS38:Approval:hyp2,EDUC4,Non-College,67.23076923076923,65.53191489361701,1.6988543371522127,True
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Conservative,20.46153846153846,19.148936170212767,1.3126022913256925,True
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Liberal,56.30769230769231,57.730496453900706,1.4228041462083993,True
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,Moderate,16.923076923076923,16.595744680851062,0.3273322422258609,True
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,__MISSING__,6.3076923076923075,6.524822695035461,0.21713038734315315,True
CalarcoS38,CalarcoS38:Approval:hyp3,GENDER,Female,51.057401812688816,55.88235294117647,4.824951128487655,True
CalarcoS38,CalarcoS38:Approval:hyp3,GENDER,Male,48.94259818731118,44.11764705882353,4.824951128487648,True
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,Black,10.27190332326284,10.695187165775401,0.4232838425125607,True
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,White,69.78851963746223,66.84491978609626,2.943599851365974,True
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,__MISSING__,19.939577039274926,22.459893048128343,2.520316008853417,True
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Democrat,44.71299093655589,51.60427807486631,6.8912871383104175,True
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Independent,19.939577039274926,14.705882352941178,5.233694686333749,True
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Republican,35.04531722054381,33.68983957219251,1.3554776483512967,True
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,__MISSING__,0.3021148036253776,0.0,0.3021148036253776,True
CalarcoS38,CalarcoS38:Approval:hyp3,age_5,Older than 50,49.848942598187314,47.593582887700535,2.255359710486779,True
CalarcoS38,CalarcoS38:Approval:hyp3,age_5,Younger than 50,50.15105740181269,52.406417112299465,2.255359710486772,True
CalarcoS38,CalarcoS38:Approval:hyp3,EDUC4,College,34.74320241691843,34.22459893048128,0.5186034864371507,True
CalarcoS38,CalarcoS38:Approval:hyp3,EDUC4,Non-College,65.25679758308158,65.77540106951871,0.5186034864371294,True
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Conservative,16.91842900302115,21.12299465240642,4.20456564938527,True
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Liberal,55.89123867069487,59.35828877005348,3.467050099358609,True
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Moderate,18.429003021148034,14.973262032085561,3.4557409890624733,True
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,__MISSING__,8.761329305135952,4.545454545454546,4.215874759681406,True
Campbell1308,Campbell1308:Gender Roles:hyp1,GENDER,Female,54.65116279069767,50.75034106412005,3.900821726577618,True
Campbell1308,Campbell1308:Gender Roles:hyp1,GENDER,Male,45.348837209302324,49.24965893587995,3.9008217265776253,True
