model,study_id,mse
M3R,Braman751,40.87002724906264
M3R,CalarcoS38,2177.980642825109
M3R,Campbell1308,4.503023076533374
M3R,Cohen1099,23.362694579017226
M3R,CorstangeBRIEF69,2.463437877519323
M3R,Enos700,43.89999973689637
M3R,FaheyS78,0.544064239866334
M3R,FarrowS6,2.501647099226407
M3R,Haaland874,8.570787670390649
M3R,HankinsonS22,135.53413533403557
M3R,Howard823,2.5329780250080676
M3R,Iles1294,20.46355843180693
M3R,Kennedy1017,22.34411158055976
M3R,KlarS44,7.744197490629985
M3R,McGinty730,56.415446074450905
M3R,Melin1066,149.9565189052621
M3R,Merolla843,13.376648770558337
M3R,Mezzapelle1439,2.4560696187159032
M3R,MunschS68,157.7230016873748
M3R,SchaadS62,63.35223275420267
M3R,Schnabel903,0.7951402627892205
M3R,ShannonS2,41.1189335056766
M3R,Silverman1035,12.607303871140585
M3R,Stoker1063,267.0852710094896
M3R,Terman1029,4.934724244375899
M3R,WallaceS9,349.0911449392289
M3R,Williamson859,1.8926121876728355
M3R,bolsenM6,6.048406038962125
M3R,bucci1408,15.030237156371674
